ds,predicted_total_posts,predicted_total_posts_lower,predicted_total_posts_upper,actual_total_posts,predicted_vague_ratio,predicted_vague_ratio_lower,predicted_vague_ratio_upper,actual_vague_ratio,total_posts_difference,vague_ratio_difference,period
2020-10-18,127.5150376085804,113.96378729024984,140.3211809437167,106,0.14950438967282523,0.11373250105140555,0.18930149131588353,0.2169811320754717,-21.5150376085804,0.06747674240264648,After NSL
2020-10-19,125.30738058036191,111.15148250029648,139.10472616151418,92,0.15306714592860704,0.11399975926046912,0.19417589352337616,0.20652173913043478,-33.30738058036191,0.053454593201827744,After NSL
2020-10-20,131.12374711419574,116.61763378144958,145.90639026482046,96,0.15535750303036258,0.1143957933900364,0.19259353229522366,0.19791666666666666,-35.12374711419574,0.042559163636304076,After NSL
2020-10-21,129.60418458421537,115.96921269782118,144.27453837256596,107,0.15838300813559897,0.11835602122592823,0.19769021767450481,0.2336448598130841,-22.604184584215375,0.07526185167748514,After NSL
2020-10-22,133.62679364945942,121.04272156002463,147.88541957426253,91,0.17195483373285084,0.1350702558062753,0.21001188901084947,0.26373626373626374,-42.626793649459415,0.0917814300034129,After NSL
2020-10-23,136.26107036741197,122.0476207185162,150.00046614448226,104,0.1521773292044876,0.11426081018387767,0.19327385091137372,0.14423076923076922,-32.261070367411975,-0.007946559973718376,After NSL
2020-10-24,138.21611072418312,124.24055421553578,152.00219157028525,101,0.15002902169254595,0.11308407812116135,0.18730146398513117,0.24752475247524752,-37.216110724183125,0.09749573078270157,After NSL
2020-10-25,133.67707125272943,119.41104671801179,147.1384600291299,91,0.15825565393244606,0.11999509749901414,0.19490699728889727,0.2087912087912088,-42.677071252729434,0.05053555485876274,After NSL
2020-10-26,132.4643452905652,117.87658985923684,146.28874349573195,102,0.16056547869329943,0.12292209382842997,0.2007813188337555,0.19607843137254902,-30.464345290565205,0.03551295267924959,After NSL
2020-10-27,139.0755879203976,124.73911772351512,152.61780157901316,106,0.16135545844672913,0.12388997783226799,0.20140480299338084,0.1509433962264151,-33.075587920397595,-0.010412062220314044,After NSL
